Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,233,191.0,1.0,7562.8171972572645,0,5.315058469772339
Individual AoIs for Seed,42
IoT 22,167,t_gen=17
IoT 23,183,t_gen=1
IoT 24,168,t_gen=16
IoT 25,157,t_gen=1
IoT 26,183,t_gen=1
IoT 27,195,t_gen=2
IoT 28,155,t_gen=3
IoT 29,187,t_gen=10
IoT 30,185,t_gen=12
IoT 31,177,t_gen=20
IoT 32,192,t_gen=5
IoT 33,178,t_gen=19
IoT 34,169,t_gen=15
IoT 35,185,t_gen=12
IoT 36,194,t_gen=3
IoT 37,146,t_gen=12
IoT 38,196,t_gen=1
IoT 39,151,t_gen=7
IoT 40,178,t_gen=19
IoT 41,172,t_gen=12
IoT 42,153,t_gen=5
IoT 43,195,t_gen=2
IoT 44,174,t_gen=10
IoT 45,185,t_gen=16
IoT 46,191,t_gen=6
IoT 47,167,t_gen=17
IoT 48,173,t_gen=11
IoT 49,179,t_gen=5
IoT 50,180,t_gen=4
IoT 51,179,t_gen=18
IoT 52,179,t_gen=18
IoT 53,167,t_gen=17
IoT 54,180,t_gen=17
IoT 55,165,t_gen=19
IoT 56,185,t_gen=12
IoT 57,153,t_gen=5
IoT 58,176,t_gen=8
IoT 59,184,t_gen=0
IoT 60,148,t_gen=10

Final Averages
avg_peak_aoi,187.3
avg_avg_aoi,152.13
avg_coverage,1.0
avg_total_dist,6246.196786813369
avg_unserved,0.0
avg_runtime,5.937391257286071
